"id_clientes","cliente","endereco","id_concessionarias","data_inclusao","data_atualizacao"
260750,"Gustavo Eduardo Nascimento","Estrada Xavier da Serra, 5420",22,"2025-12-28 02:20:01.735571+00","2025-12-28 02:20:01.735571+00"
260847,"Gabriel Márcia Castro","Rua Vicente dos Pinhais, 9427",13,"2025-12-28 10:25:01.576444+00","2025-12-28 10:25:01.576444+00"
260944,"Lucas Fábio Castro","Praça Juscelino da Harmonia, 6271",2,"2025-12-28 18:30:01.932289+00","2025-12-28 18:30:01.932289+00"
261038,"Renata Lucas Lima","Avenida Industrial da Floresta, 4300",19,"2025-12-29 02:20:02.104226+00","2025-12-29 02:20:02.104226+00"
261135,"Carlos da Souza","Alameda Bandeirantes da Serra, 9067",29,"2025-12-29 10:25:01.87771+00","2025-12-29 10:25:01.87771+00"
261232,"Patrícia Pedro Mendes","Travessa Vicente do Futuro, 1328",19,"2025-12-29 18:30:01.565032+00","2025-12-29 18:30:01.565032+00"
261326,"Rebeca Felipe Pinto","Alameda Internacional das Rosas, 5440",22,"2025-12-30 02:20:01.559546+00","2025-12-30 02:20:01.559546+00"
261423,"Juliana João Barros","Avenida Vicente da Montanha, 5841",29,"2025-12-30 10:25:01.57571+00","2025-12-30 10:25:01.57571+00"
260559,"Mateus Márcia Almeida","Largo Marquês da Saúde, 2932",13,"2025-12-27 10:25:01.627325+00","2025-12-27 10:25:01.627325+00"
260656,"Leonardo Paula Costa","Travessa Palmeiras do Futuro, 5316",23,"2025-12-27 18:30:01.419959+00","2025-12-27 18:30:01.419959+00"
260174,"Henrique Larissa Moura","Rodovia Industrial da Paz, 6518",13,"2025-12-26 02:20:01.950018+00","2025-12-26 02:20:01.950018+00"
260271,"Tatiana Antônio Costa","Via Voluntários da Saúde, 5884",2,"2025-12-26 10:25:01.63496+00","2025-12-26 10:25:01.63496+00"
260368,"Vanessa Francisco Barros","Travessa Marechal Vinhedos, 7292",19,"2025-12-26 18:30:01.432484+00","2025-12-26 18:30:01.432484+00"
260463,"Beatriz Eduardo Rocha","Rodovia Zumbi da Liberdade, 8659",24,"2025-12-27 02:25:01.187946+00","2025-12-27 02:25:01.187946+00"
260751,"Juliana Clara Martins","Vila Juscelino da Colina, 8423",15,"2025-12-28 02:25:01.90683+00","2025-12-28 02:25:01.90683+00"
260848,"Tatiana Sofia Oliveira","Largo Juscelino da Lua, 1424",29,"2025-12-28 10:30:01.637618+00","2025-12-28 10:30:01.637618+00"
260945,"Simone Francisco Fernandes","Rodovia Barão dos Coqueiros, 1450",29,"2025-12-28 18:35:02.097405+00","2025-12-28 18:35:02.097405+00"
261039,"Simone Juliana Pereira","Praça Amazonas do Mar, 4708",5,"2025-12-29 02:25:01.298522+00","2025-12-29 02:25:01.298522+00"
261136,"Simone Samuel Dias","Via Nossa Senhora da Tecnologia, 4447",14,"2025-12-29 10:30:02.045678+00","2025-12-29 10:30:02.045678+00"
261233,"Bruno Sofia Moura","Largo Marquês da Floresta, 9166",13,"2025-12-29 18:35:01.711798+00","2025-12-29 18:35:01.711798+00"
261327,"Camila Larissa Araújo","Via Libertadores da Estação, 3390",20,"2025-12-30 02:25:01.739881+00","2025-12-30 02:25:01.739881+00"
261424,"Gabriel e Moura","Rodovia Internacional dos Coqueiros, 5573",5,"2025-12-30 10:30:01.65426+00","2025-12-30 10:30:01.65426+00"
260560,"Lucas Carolina Souza","Praça Quintino da Harmonia, 9061",28,"2025-12-27 10:30:01.625002+00","2025-12-27 10:30:01.625002+00"
260657,"Gabriel Carla Ribeiro","Alameda Nossa Senhora das Estrelas, 3870",21,"2025-12-27 18:35:01.390513+00","2025-12-27 18:35:01.390513+00"
260175,"Rebeca dos Silva","Passagem Libertadores da Pedra, 6349",19,"2025-12-26 02:25:01.145555+00","2025-12-26 02:25:01.145555+00"
260272,"Rafael Rosa Santos","Beco Central da Colina, 9799",24,"2025-12-26 10:30:01.782168+00","2025-12-26 10:30:01.782168+00"
260369,"Fernanda Rafael Rodrigues","Travessa Voluntários da Inovação, 7467",28,"2025-12-26 18:35:01.589124+00","2025-12-26 18:35:01.589124+00"
260464,"Alexandre de Barbosa","Rodovia Monteiro da Mata, 1415",19,"2025-12-27 02:30:01.207624+00","2025-12-27 02:30:01.207624+00"
260752,"Beatriz das Souza","Via Libertadores da Montanha, 4846",19,"2025-12-28 02:30:01.998115+00","2025-12-28 02:30:01.998115+00"
260849,"Marcos Eduardo Araújo","Vila Tocantins do Sol, 5331",13,"2025-12-28 10:35:01.78671+00","2025-12-28 10:35:01.78671+00"
260946,"Rodrigo Lucas Oliveira","Avenida Padre dos Santos, 1368",13,"2025-12-28 18:40:01.233083+00","2025-12-28 18:40:01.233083+00"
261040,"André Sofia Silva","Alameda Nossa Senhora da Lua, 2455",16,"2025-12-29 02:30:01.441046+00","2025-12-29 02:30:01.441046+00"
261137,"Caio Carolina Cardoso","Beco Internacional do Vale, 5675",16,"2025-12-29 10:35:01.19422+00","2025-12-29 10:35:01.19422+00"
261234,"Henrique Marcos Freitas","Beco São Pedro da Tecnologia, 3965",18,"2025-12-29 18:40:01.85953+00","2025-12-29 18:40:01.85953+00"
261328,"Mateus e Rodrigues","Beco Flores do Vale, 7084",19,"2025-12-30 02:30:01.807645+00","2025-12-30 02:30:01.807645+00"
261425,"Gabriela Carolina Ribeiro","Alameda Rei do Mar, 2223",26,"2025-12-30 10:35:01.802187+00","2025-12-30 10:35:01.802187+00"
260561,"Lucas Márcia Silva","Travessa Quintino do Futuro, 6059",27,"2025-12-27 10:35:01.773239+00","2025-12-27 10:35:01.773239+00"
260658,"Marcos Larissa Carvalho","Rodovia Independência do Mar, 1285",14,"2025-12-27 18:40:01.534747+00","2025-12-27 18:40:01.534747+00"
260176,"Clara do Costa","Praça Tiradentes do Progresso, 9940",13,"2025-12-26 02:30:01.277232+00","2025-12-26 02:30:01.277232+00"
260273,"Clara Clara Ribeiro","Largo Ipiranga da Paz, 9174",22,"2025-12-26 10:35:01.951373+00","2025-12-26 10:35:01.951373+00"
260370,"Simone Felipe Almeida","Avenida Industrial da Montanha, 4168",5,"2025-12-26 18:40:01.750445+00","2025-12-26 18:40:01.750445+00"
260465,"Cristina dos Costa","Praça Duque do Bosque, 9683",15,"2025-12-27 02:35:01.342614+00","2025-12-27 02:35:01.342614+00"
260753,"Aline Samuel Ribeiro","Beco Paulista das Dunas, 3264",25,"2025-12-28 02:35:01.147796+00","2025-12-28 02:35:01.147796+00"
260850,"Mariana Eduardo Gomes","Travessa Coronel da Esperança, 6286",24,"2025-12-28 10:40:01.957934+00","2025-12-28 10:40:01.957934+00"
260947,"Beatriz Sofia Pereira","Estrada Santa da Tecnologia, 8010",22,"2025-12-28 18:45:01.380549+00","2025-12-28 18:45:01.380549+00"
261041,"Daniela Sofia Mendes","Via São João da Montanha, 8186",28,"2025-12-29 02:35:01.601836+00","2025-12-29 02:35:01.601836+00"
261138,"André Pedro Cardoso","Travessa Doutor do Lago, 8624",2,"2025-12-29 10:40:01.333634+00","2025-12-29 10:40:01.333634+00"
261235,"Gustavo do Rocha","Praça Juscelino do Futuro, 5796",13,"2025-12-29 18:45:02.03239+00","2025-12-29 18:45:02.03239+00"
261329,"Gabriela Antônio Santos","Via Paulista do Mar, 6118",21,"2025-12-30 02:35:01.977079+00","2025-12-30 02:35:01.977079+00"
261426,"Rafael Francisco Moura","Passagem Independência da Liberdade, 6613",25,"2025-12-30 10:40:01.962502+00","2025-12-30 10:40:01.962502+00"
260562,"Eduardo e Mendes","Travessa Kennedy da Esperança, 5908",27,"2025-12-27 10:40:01.919695+00","2025-12-27 10:40:01.919695+00"
260659,"Camila Clara Pinto","Avenida Internacional das Acácias, 8290",22,"2025-12-27 18:45:01.705752+00","2025-12-27 18:45:01.705752+00"
260177,"Marcelo de Araújo","Rodovia Atlântica dos Santos, 9047",5,"2025-12-26 02:35:01.418134+00","2025-12-26 02:35:01.418134+00"
260274,"Juliana Fernando Freitas","Passagem Brasil da Esperança, 6942",27,"2025-12-26 10:40:02.167934+00","2025-12-26 10:40:02.167934+00"
260371,"Tatiana Paula Alves","Via Flores da Prosperidade, 4126",5,"2025-12-26 18:45:01.908698+00","2025-12-26 18:45:01.908698+00"
260466,"Marcelo da Silva","Beco Flores da Saúde, 4388",16,"2025-12-27 02:40:01.478421+00","2025-12-27 02:40:01.478421+00"
260754,"Eduardo Pedro Campos","Alameda Tocantins do Bosque, 1099",21,"2025-12-28 02:40:01.280156+00","2025-12-28 02:40:01.280156+00"
260851,"Felipe da Rocha","Praça Sete de Setembro da Paz, 9023",16,"2025-12-28 10:45:01.097554+00","2025-12-28 10:45:01.097554+00"
260948,"Julia Ana Barros","Praça Nossa Senhora da Praia, 3133",20,"2025-12-28 18:50:01.521946+00","2025-12-28 18:50:01.521946+00"
261042,"Patrícia Rafael Campos","Via Zumbi dos Pássaros, 7875",25,"2025-12-29 02:40:01.742198+00","2025-12-29 02:40:01.742198+00"
261139,"Luiz Rosa Campos","Avenida Industrial da Serra, 6964",20,"2025-12-29 10:45:01.472329+00","2025-12-29 10:45:01.472329+00"
261236,"Leonardo de Silva","Via Monteiro do Campo, 2632",19,"2025-12-29 18:50:01.175595+00","2025-12-29 18:50:01.175595+00"
261330,"Camila da Costa","Estrada Xavier do Sol, 2270",15,"2025-12-30 02:40:01.116097+00","2025-12-30 02:40:01.116097+00"
261427,"Daniela da Ribeiro","Alameda Xavier da Montanha, 8199",13,"2025-12-30 10:45:02.168998+00","2025-12-30 10:45:02.168998+00"
260563,"Mariana dos Souza","Praça Santa do Campo, 6515",18,"2025-12-27 10:45:02.091845+00","2025-12-27 10:45:02.091845+00"
260660,"Sara Paula Rodrigues","Alameda Padre do Vale, 4612",16,"2025-12-27 18:50:01.851538+00","2025-12-27 18:50:01.851538+00"
260178,"Clara da Costa","Estrada Imperador da Fonte, 2790",14,"2025-12-26 02:40:01.559093+00","2025-12-26 02:40:01.559093+00"
260275,"Fernando Francisco Souza","Beco Rei das Américas, 1700",8,"2025-12-26 10:45:01.326939+00","2025-12-26 10:45:01.326939+00"
260372,"Nathalia Carolina Almeida","Rodovia Tocantins das Américas, 3653",2,"2025-12-26 18:50:02.061685+00","2025-12-26 18:50:02.061685+00"
260467,"Camila Francisco Pinto","Vila Flores dos Pinhais, 2587",28,"2025-12-27 02:45:01.650459+00","2025-12-27 02:45:01.650459+00"
260755,"Marcos Ana Almeida","Passagem Brasil do Campo, 6179",5,"2025-12-28 02:45:01.427397+00","2025-12-28 02:45:01.427397+00"
260852,"Eduardo Eduardo Freitas","Largo Industrial dos Navegantes, 8522",1,"2025-12-28 10:50:01.210816+00","2025-12-28 10:50:01.210816+00"
260949,"Lucas Ana Ribeiro","Travessa Oliveira dos Viajantes, 7340",1,"2025-12-28 18:55:01.670423+00","2025-12-28 18:55:01.670423+00"
261043,"Leonardo Alice Santos","Alameda São João do Porto, 4902",26,"2025-12-29 02:45:01.937084+00","2025-12-29 02:45:01.937084+00"
261140,"Marcelo Carla Rocha","Avenida Zumbi do Mar, 7843",25,"2025-12-29 10:50:01.616242+00","2025-12-29 10:50:01.616242+00"
261237,"Daniela dos Castro","Rua Brasil dos Viajantes, 7733",25,"2025-12-29 18:55:01.308455+00","2025-12-29 18:55:01.308455+00"
261331,"Julia Fábio Fernandes","Praça Xavier da Montanha, 7831",28,"2025-12-30 02:45:01.245453+00","2025-12-30 02:45:01.245453+00"
261428,"Marcos do Fernandes","Vila Palmeiras do Futuro, 2301",19,"2025-12-30 10:50:01.30612+00","2025-12-30 10:50:01.30612+00"
260564,"Carlos Lucas Mendes","Passagem Savassi da Saúde, 594",17,"2025-12-27 10:50:01.253232+00","2025-12-27 10:50:01.253232+00"
260661,"Julia Maria Lima","Praça Santa da Fonte, 927",7,"2025-12-27 18:55:01.99797+00","2025-12-27 18:55:01.99797+00"
260179,"Fernando Leonardo Silva","Beco Kennedy da Paz, 5929",24,"2025-12-26 02:45:01.709822+00","2025-12-26 02:45:01.709822+00"
260276,"Felipe Rafael Cavalcanti","Via Visconde da Harmonia, 4235",29,"2025-12-26 10:50:01.466553+00","2025-12-26 10:50:01.466553+00"
260373,"Sara Alice Silva","Largo Padre do Sol, 5992",19,"2025-12-26 18:55:01.204164+00","2025-12-26 18:55:01.204164+00"
260468,"Gabriel Carolina Souza","Passagem Duque da Felicidade, 8306",24,"2025-12-27 02:50:01.803862+00","2025-12-27 02:50:01.803862+00"
260756,"Renata e Fernandes","Via Rainha da Liberdade, 6593",19,"2025-12-28 02:50:01.564815+00","2025-12-28 02:50:01.564815+00"
260853,"Alexandre e Santos","Avenida Palmeiras da Fonte, 1711",13,"2025-12-28 10:55:01.356418+00","2025-12-28 10:55:01.356418+00"
260950,"Fernando Antônio Fernandes","Praça Independência do Mar, 3339",13,"2025-12-28 19:00:01.820462+00","2025-12-28 19:00:01.820462+00"
261044,"Isabela Ana Oliveira","Estrada Marechal dos Pássaros, 6003",7,"2025-12-29 02:50:02.122318+00","2025-12-29 02:50:02.122318+00"
261141,"Rafael Clara Castro","Via Juscelino dos Pássaros, 4946",11,"2025-12-29 10:55:01.786057+00","2025-12-29 10:55:01.786057+00"
261238,"Marcos João Barbosa","Via Visconde dos Santos, 2564",18,"2025-12-29 19:00:01.462437+00","2025-12-29 19:00:01.462437+00"
261332,"Caio do Cardoso","Praça Industrial dos Santos, 7793",8,"2025-12-30 02:50:01.38432+00","2025-12-30 02:50:01.38432+00"
261429,"Luiz Carolina Barbosa","Beco Amazonas da Inovação, 8728",28,"2025-12-30 10:55:01.449399+00","2025-12-30 10:55:01.449399+00"
260565,"Juliana Francisco Cavalcanti","Avenida Ipiranga do Pacífico, 8220",23,"2025-12-27 10:55:01.403769+00","2025-12-27 10:55:01.403769+00"
260662,"Beatriz Maria Cavalcanti","Via Monteiro da Lua, 9241",5,"2025-12-27 19:00:01.134466+00","2025-12-27 19:00:01.134466+00"
260180,"Rafael João Araújo","Avenida Santana da Estação, 8845",1,"2025-12-26 02:50:01.8653+00","2025-12-26 02:50:01.8653+00"
260277,"Renata Marcos Alves","Estrada Monteiro das Dunas, 7011",21,"2025-12-26 10:55:01.614952+00","2025-12-26 10:55:01.614952+00"
260374,"Juliana Marcos Freitas","Vila Amazonas da Montanha, 6147",9,"2025-12-26 19:00:01.343879+00","2025-12-26 19:00:01.343879+00"
260469,"Juliana e Pereira","Passagem São João da Fonte, 4515",3,"2025-12-27 02:55:02.019868+00","2025-12-27 02:55:02.019868+00"
260757,"Vanessa das Costa","Passagem Libertadores das Dunas, 8348",19,"2025-12-28 02:55:01.727771+00","2025-12-28 02:55:01.727771+00"
260854,"Julia Carolina Carvalho","Avenida Principal Vinhedos, 4521",29,"2025-12-28 11:00:01.488026+00","2025-12-28 11:00:01.488026+00"
260951,"Vanessa Antônio Gomes","Rua Palmeiras dos Pássaros, 8648",28,"2025-12-28 19:05:02.003926+00","2025-12-28 19:05:02.003926+00"
261045,"Mateus Felipe Araújo","Avenida Industrial da Felicidade, 927",5,"2025-12-29 02:55:01.271085+00","2025-12-29 02:55:01.271085+00"
261142,"Ana Francisco Costa","Beco Kennedy da Vida, 2110",19,"2025-12-29 11:00:01.995243+00","2025-12-29 11:00:01.995243+00"
261239,"Tatiana Ana Mendes","Praça Xavier das Estrelas, 2180",25,"2025-12-29 19:05:01.617172+00","2025-12-29 19:05:01.617172+00"
261333,"Aline Juliana Santos","Largo Ipiranga do Futuro, 4447",11,"2025-12-30 02:55:01.535739+00","2025-12-30 02:55:01.535739+00"
261430,"Vanessa Lucas Cardoso","Rua Doutor dos Pássaros, 672",2,"2025-12-30 11:00:01.611623+00","2025-12-30 11:00:01.611623+00"
260566,"Tatiana Francisco Moura","Rua Santa da Tecnologia, 2122",13,"2025-12-27 11:00:01.547966+00","2025-12-27 11:00:01.547966+00"
260663,"Juliana Larissa Lima","Estrada Internacional do Lago, 8805",5,"2025-12-27 19:05:01.278073+00","2025-12-27 19:05:01.278073+00"
260181,"Bruno Maria Cardoso","Alameda Paulista da Estação, 4725",29,"2025-12-26 02:55:02.099033+00","2025-12-26 02:55:02.099033+00"
260278,"Juliana Lucas Castro","Largo Savassi do Progresso, 1079",25,"2025-12-26 11:00:01.785713+00","2025-12-26 11:00:01.785713+00"
260375,"Diego Antônio Araújo","Travessa São Pedro do Futuro, 3207",22,"2025-12-26 19:05:01.487518+00","2025-12-26 19:05:01.487518+00"
260470,"Sara Clara Oliveira","Largo Vitória da Tecnologia, 6898",17,"2025-12-27 03:00:01.158688+00","2025-12-27 03:00:01.158688+00"
260758,"Cristina José Carvalho","Travessa Paulista da Saúde, 4451",3,"2025-12-28 03:00:01.88146+00","2025-12-28 03:00:01.88146+00"
260855,"Rafael Ricardo Campos","Passagem Oliveira dos Santos, 2907",20,"2025-12-28 11:05:01.661745+00","2025-12-28 11:05:01.661745+00"
260952,"Vanessa dos Cavalcanti","Estrada Vitória dos Coqueiros, 6809",19,"2025-12-28 19:10:01.118031+00","2025-12-28 19:10:01.118031+00"
261046,"César Luís Almeida","Passagem Tocantins da Praia, 1901",14,"2025-12-29 03:00:01.404155+00","2025-12-29 03:00:01.404155+00"
261143,"Fernanda João Martins","Rodovia Ipiranga do Campo, 924",15,"2025-12-29 11:05:01.144506+00","2025-12-29 11:05:01.144506+00"
261240,"Eduardo Paula Mendes","Praça Vitória da Felicidade, 2987",21,"2025-12-29 19:10:01.759457+00","2025-12-29 19:10:01.759457+00"
261334,"Caio Maria Mendes","Travessa Marechal das Rosas, 4847",9,"2025-12-30 03:00:01.700655+00","2025-12-30 03:00:01.700655+00"
261431,"Henrique Larissa Lima","Praça Marechal do Pacífico, 5103",3,"2025-12-30 11:05:01.764091+00","2025-12-30 11:05:01.764091+00"
260567,"Isabela Alice Monteiro","Alameda Monteiro do Vale, 6795",28,"2025-12-27 11:05:01.696172+00","2025-12-27 11:05:01.696172+00"
260664,"Luiz Juliana Souza","Passagem Paulista do Mar, 7156",27,"2025-12-27 19:10:01.413265+00","2025-12-27 19:10:01.413265+00"
260182,"Gustavo Lucas Araújo","Travessa Central do Futuro, 6979",20,"2025-12-26 03:00:01.240747+00","2025-12-26 03:00:01.240747+00"
260279,"Ana Larissa Carvalho","Beco Ipiranga do Lago, 7651",22,"2025-12-26 11:05:01.954361+00","2025-12-26 11:05:01.954361+00"
260376,"Clara Carla Cardoso","Praça Marquês da Serra, 7048",4,"2025-12-26 19:10:01.632564+00","2025-12-26 19:10:01.632564+00"
260471,"Mariana José Fernandes","Vila Palmeiras dos Pássaros, 2648",12,"2025-12-27 03:05:01.305013+00","2025-12-27 03:05:01.305013+00"
260759,"Camila Antônio Barbosa","Vila Brasil da Paz, 8076",19,"2025-12-28 03:05:02.069418+00","2025-12-28 03:05:02.069418+00"
260856,"Leonardo Larissa Nascimento","Rodovia Quintino das Acácias, 6626",8,"2025-12-28 11:10:01.815112+00","2025-12-28 11:10:01.815112+00"
260953,"Rebeca Juliana Oliveira","Beco Ipiranga dos Navegantes, 6394",16,"2025-12-28 19:15:01.241373+00","2025-12-28 19:15:01.241373+00"
261047,"Larissa Carla Mendes","Passagem São João da Saúde, 3246",3,"2025-12-29 03:05:01.617916+00","2025-12-29 03:05:01.617916+00"
261144,"Rebeca Carla Moura","Avenida Zumbi da Lua, 5455",27,"2025-12-29 11:10:01.283745+00","2025-12-29 11:10:01.283745+00"
261241,"Marcos Carla Nascimento","Largo Duque dos Coqueiros, 5259",25,"2025-12-29 19:15:01.951379+00","2025-12-29 19:15:01.951379+00"
261335,"Carlos Rafael Barros","Vila Tocantins dos Pássaros, 1558",21,"2025-12-30 03:05:01.908434+00","2025-12-30 03:05:01.908434+00"
261432,"Patrícia Rafael Pereira","Vila Doutor da Mata, 2976",25,"2025-12-30 11:10:01.930473+00","2025-12-30 11:10:01.930473+00"
260568,"Lucas Samuel Lima","Beco Sete de Setembro das Rosas, 646",13,"2025-12-27 11:10:01.848772+00","2025-12-27 11:10:01.848772+00"
260665,"Tiago Leonardo Araújo","Beco Amazonas da Mata, 5049",28,"2025-12-27 19:15:01.559373+00","2025-12-27 19:15:01.559373+00"
260183,"Tatiana do Rocha","Estrada Amazonas do Pacífico, 6587",5,"2025-12-26 03:05:01.383005+00","2025-12-26 03:05:01.383005+00"
260280,"Fernando Ana Barbosa","Via Santana dos Pinhais, 3477",18,"2025-12-26 11:10:02.138977+00","2025-12-26 11:10:02.138977+00"
260377,"Alexandre Fábio Carvalho","Rodovia Amazonas da Saúde, 1984",1,"2025-12-26 19:15:01.7856+00","2025-12-26 19:15:01.7856+00"
260472,"Mariana Pedro Martins","Avenida Atlântica da Tecnologia, 6389",15,"2025-12-27 03:10:01.457305+00","2025-12-27 03:10:01.457305+00"
260760,"Felipe Eduardo Freitas","Largo Industrial das Américas, 6055",9,"2025-12-28 03:10:01.206164+00","2025-12-28 03:10:01.206164+00"
260857,"Fernanda Márcia Cardoso","Largo Xavier dos Peixes, 9031",8,"2025-12-28 11:15:01.96541+00","2025-12-28 11:15:01.96541+00"
260954,"Carlos Carolina Nascimento","Rua Libertadores do Porto, 2220",25,"2025-12-28 19:20:01.548503+00","2025-12-28 19:20:01.548503+00"
